word,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
limit,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
complication,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
notebooks,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
try,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
nomen,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
delineate,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
instead,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
simple,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
day,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
projective,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
firstly,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
afn,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
approximation,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
pull,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
understood,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
describe,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
summation,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
magazine,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ronto,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
temporal,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
dive,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
quite,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
loglognp,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
tractability,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
loglogkk,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
distinct,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
provide,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
jeszenszki,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
zgngn,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
eiphxgn,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
assume,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
next,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
finally,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
radial,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
ph,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
sequel,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
trigonometrical,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
argument,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
diophantine,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
hardness,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
even,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
laptop,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
e,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
technology,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
conversion,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
discipline,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
gn,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
subject,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
navailable,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
compatible,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
loglogn,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
tem,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
g,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
computa,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
deep,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
may,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
shift,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
till,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
modern,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
gnb,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
atyus,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
apply,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
polard,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
claverys,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
straightforward,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
nm,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
grovers,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
symposium,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
jp,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
show,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
task,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
department,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
sys,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
outcome,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
motivation,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
useful,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
manufacture,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
without,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
amortize,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
behind,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
underlie,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
edition,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
american,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
x,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
examines,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
typically,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
allott,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
uniform,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
link,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
write,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
think,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
scientific,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
challenge,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
trigonometric,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
engineering,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
classification,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
subfields,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
xaxes,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
cubic,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
nota,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
respec,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
expensive,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
tween,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
might,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
arbitrary,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
h,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
ations,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
constant,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
illustration,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
requirement,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
performance,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
want,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
tive,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
clifford,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
data,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
relevance,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
speculative,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
develop,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
actual,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
cardinally,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
loglogknx,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
j,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
moduli,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
nunemacher,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
continuity,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
critical,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
identical,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
imfnandphtan,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
byi,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
indeed,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
pro,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
respective,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
distribution,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
observable,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
neighbour,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
comportment,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
communication,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
produce,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
algebras,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
polynomialtime,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
arithmetic,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
random,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
algorithms,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
pace,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
probability,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
density,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
cap,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
graphic,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
test,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
question,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
circle,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
cartesian,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
various,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
equate,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
imfnand,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
card,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
physical,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
intel,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
certain,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
bad,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
concern,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
ofxxaar,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
sandwich,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
intelligence,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
sh,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
positive,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
otherwise,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
dec,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
intake,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
akar,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
loglogzdzp,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
nificantly,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
mascheroni,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
implement,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
monitor,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
multiplying,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
professor,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
non,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
estimate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
validation,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
reasonably,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
journal,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
terminal,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
rotation,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
rithms,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
monthly,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
accessible,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
buhrman,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
constrain,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
programmatically,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ideal,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
searched,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
johnston,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
run,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
logi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
strategy,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
hardware,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
appear,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
visualize,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
nonnegative,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
thfx,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
approx,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
nmay,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
matica,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
social,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
storage,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
imating,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
evident,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
ucts,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
several,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
particular,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
large,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
good,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
artificial,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
evaluation,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
jl,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
main,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
mips,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
information,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
tend,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
rothschild,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
every,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
refnx,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
stage,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
accordingly,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
vayvay,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
power,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
literature,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
category,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ns,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
prod,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
morticis,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
acta,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
upper,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
vellore,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
thfunctions,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
entry,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
geforce,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
length,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ofq,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
pragmatic,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
generalization,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
ofxx,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
property,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
coolidge,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
compare,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
sigact,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
eixtanimfn,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
loglogi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
formula,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
maximum,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
national,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
rate,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
mx,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
kuwait,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
clock,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
multiple,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
strongly,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
government,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
sum,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
weinstein,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
algo,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
major,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
game,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
processing,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
acmsiam,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
vec,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
w,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
india,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
tiny,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
velammal,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
scale,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
college,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
academy,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
item,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
connect,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
mr,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
institute,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
lakshmanan,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
approximate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ntime,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
leave,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
nash,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
frequency,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
statement,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
par,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
equilib,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
prospective,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
mostly,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
da,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
letter,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
series,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
aforementioned,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
behavioral,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
spielman,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
cscc,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
choudhury,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
robbins,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
equately,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
jm,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
tional,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
measure,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
recognize,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
kannan,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
generally,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
ingroup,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
ji,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
zxplane,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
pollak,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
outgroups,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
whereas,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
frieze,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
hand,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
tackle,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
tor,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
core,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
fichant,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
undergraduate,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
much,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
teng,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
je,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
annual,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
elsewhere,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
review,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
result,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
webb,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
specify,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
can,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
sig,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
c,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
addition,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
not,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
littlewood,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
martin,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
nif,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
imposition,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
nvidia,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
alexander,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
hibbard,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
contribution,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
braverman,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
likely,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
reason,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
half,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
meaningless,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
twentysixth,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
pciexpress,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
procedure,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
equally,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
oper,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
video,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
memory,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
rotate,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
continuum,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
mhz,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1
ko,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
news,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
body,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
design,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
mark,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
atomic,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
clash,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
spin,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
symbol,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
fewelectron,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
refers,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
variation,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
ig,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
kundu,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
bit,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
pipeline,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
plus,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
approach,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
latter,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
nadu,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
textile,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
manufacturing,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
nolog,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
style,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
mobile,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
twentyeighth,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
bacterial,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
john,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
gbps,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
gp,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
independence,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
calcutta,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
rd,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
processor,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
gpa,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
cause,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
associate,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
completeness,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
unay,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
perfect,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
ghz,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
assistant,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
ac,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
trans,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
ternational,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
tdp,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
different,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
campus,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
cost,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
serampore,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
gb,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
eth,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
device,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
process,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
meant,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
